,City,Country,Lat,Lng,Humidity,Hotel Name
6,bethel,US,41.3712,-73.414,41,Hampton Inn Danbury
70,sterling,US,39.0062,-77.4286,47,Residence Inn by Marriott Dulles Airport at Dulles 28 Centre
111,atkinson,US,42.8384,-71.147,52,Best Western Plus Merrimack Valley
118,quatre cocos,MU,-20.2078,57.7625,84,Horisun
210,ginda,IN,30.6945,78.4932,20,Shivalinga
308,palmer,US,42.1584,-72.3287,59,No hotel found
311,saint-pierre,RE,-21.3393,55.4781,73,Tropic Hotel
319,tottori,JP,35.5,134.2333,29,とらや旅館
320,iranshahr,IR,27.2025,60.6848,47,هتل قصِر
348,panzhihua,CN,26.5851,101.7128,21,木棉花酒店
444,lakeway,US,30.3638,-97.9796,62,Lakeway Resort and Spa
484,gunjur,GM,13.2019,-16.7339,69,Footsteps Eco Lodge
